Serial No.,Course ID,Course Name,Teacher Name,Teacher Rating,Teacher Friendliness,Course Difficulty,Teacher Teaching Skills,Number of Credits
127,MAT1014,Discrete Mathematics and Graph Theory,Dr. nasrudeen,2,2,1,4,2
128,ECE3501,IoT Fundamentals,Dr. deva,2,4,3,4,3
129,CSE3502,Information Security Management,Dr. kanahiya,2,3,1,5,2
130,CSE3501,Information Security Analysis and Audit,Dr. abhinay,2,3,1,4,3
131,CSE3029 ,Game Programming,Dr. ramsewak,1,1,2,3,3
132,CSE3018 ,Content Based Image and Video Retrieval,Dr. dhanraj,2,1,1,4,3
133,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. japneet,2,5,4,2,5
134,CSE4004 ,Digital Forensics,Dr. switi,5,2,1,2,5
135,CSE3502,Information Security Management,Dr. akashya,3,1,1,1,4
136,CSE4020 ,Machine Learning,Dr. bhojpal,5,4,4,4,5
137,CSE1003 ,Digital Logic and Design,Dr. rooshi,1,5,2,2,2
138,CSE3013 ,Artificial Intelligence,Dr. ratn,1,1,4,2,5
139,CSE3025 ,Large Scale Data Processing,Dr. shankri,3,3,2,2,4
140,ECE3501,IoT Fundamentals,Dr. sukhbir,3,5,3,4,4
141,CSE2023,Robotic Process Automation,Dr. parvinder,1,2,0,3,2
142,CSE1003 ,Digital Logic and Design,Dr. neeta,3,1,0,3,3
143,CSE3006 ,Embedded System Design,Dr. ashik,2,5,4,3,4
144,CSE4020 ,Machine Learning,Dr. mehruddin,5,5,1,4,3
145,CSE2023,Robotic Process Automation,Dr. narander,5,1,2,5,5
146,CSE3009 ,Internet of Things,Dr. gruchran,4,5,1,1,3
147,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. simmy,3,2,5,3,5
148,CSE3501,Information Security Analysis and Audit,Dr. warmati,4,2,4,4,4
149,CSE4015 ,Human Computer Interaction,Dr. aradhana,3,4,0,3,2
150,ECE3502,IoT Domain Analyst,Dr. mahabir,1,5,1,3,5
151,CSE2005 ,Operating Systems,Dr. iklakh,2,5,0,3,4
152,CSE2023,Robotic Process Automation,Dr. shivcharan,4,5,2,2,2
153,MAT3004 ,Applied Linear Algebra,Dr. bhavna,4,4,3,2,5
154,CSE3024 ,Web Mining,Dr. zuhaib,4,1,1,1,5
155,CSE3001 ,Software Engineering,Dr. dila,3,4,0,2,5
156,CSE2006 ,Microprocessor and Interfacing,Dr. nandita,3,5,0,4,3
157,CSE2005 ,Operating Systems,Dr. zoya,1,2,2,5,4
158,CSE3020 ,Data Visualization,Dr. roopali,4,3,4,4,4
159,CSE4022 ,Natural Language Processing,Dr. raheesh,2,2,1,2,3
160,CSE1004 ,Network and Communication,Dr. manda,3,4,2,4,2
161,CSE3029 ,Game Programming,Dr. nazima,4,3,1,2,4
162,CSE4001 ,Parallel and Distributed Computing,Dr. salomi,3,2,0,4,2
163,CSE2013,Theory of Computation,Dr. fazin,4,1,2,4,4
164,CSE3020 ,Data Visualization,Dr. chote,1,2,0,5,4
165,CSE2011 ,Data Structures and Algorithms,Dr. suntia,5,2,0,1,3
166,CSE2014,Compiler Design,Dr. vishesh,2,3,2,5,3
167,CSE4020 ,Machine Learning,Dr. sartaj,3,1,0,4,2
168,CSE4019 ,Image Processing,Dr. nasima,2,1,1,3,4
169,EEE1001,Basic Electrical and Electronics Engineering,Dr. dabbu,2,5,0,4,3
170,CSE3018 ,Content Based Image and Video Retrieval,Dr. sunali,1,5,2,3,5
171,CSE1003 ,Digital Logic and Design,Dr. shaukat,4,1,3,3,4
172,ECE3501,IoT Fundamentals,Dr. janmesh,1,2,1,4,2
173,CSE3001 ,Software Engineering,Dr. chndrakla,5,2,3,4,4
174,CSE3011 ,Robotics and its Applications,Dr. pallavi,1,1,4,3,5
175,CSE1007 ,Java Programming,Dr. bhuwan,1,2,1,2,3
176,CSE2014,Compiler Design,Dr. prem,1,3,0,3,2
177,CSE3021 ,Social and Information Networks,Dr. radhab,2,5,2,4,4
178,CSE3025 ,Large Scale Data Processing,Dr. varisha,4,5,4,2,5
179,CSE1007 ,Java Programming,Dr. yaqoob,4,4,4,5,3
180,ECE3501,IoT Fundamentals,Dr. rahish,4,2,2,2,3
181,CSE3024 ,Web Mining,Dr. rajrani,1,2,1,1,5
182,CSE3025 ,Large Scale Data Processing,Dr. rahnuma,5,5,2,1,5
183,CSE4022 ,Natural Language Processing,Dr. neharika,5,2,3,1,4
184,CSE3013 ,Artificial Intelligence,Dr. sahabudeen,2,1,2,5,2
185,CSE2012,Design and analysis of algorithms,Dr. avantika,5,3,0,3,2
186,CSE2001 ,Computer Architecture and Organization,Dr. kamlesh,4,4,1,5,4
187,CSE2013,Theory of Computation,Dr. fazulla,5,1,1,2,3
188,EEE1001,Basic Electrical and Electronics Engineering,Dr. revndrshing,3,1,0,2,3
189,CSE2014,Compiler Design,Dr. jaydurga,5,1,0,5,5
190,CSE2004 ,Database Management Systems,Dr. tilak,3,4,2,3,5
191,CSE2005 ,Operating Systems,Dr. kirshna,4,5,1,3,2
192,CSE3505,Foundations of Data Analytics,Dr. depander,3,4,4,2,3
193,CSE3025 ,Large Scale Data Processing,Dr. aaenab,4,5,3,3,4
194,CSE4001 ,Parallel and Distributed Computing,Dr. bsram,2,4,1,4,2
195,MAT2002,Applications of Differential and Difference Equations,Dr. shardha,3,3,0,5,5
196,CSE3009 ,Internet of Things,Dr. diti,4,2,2,4,5
197,CSE4004 ,Digital Forensics,Dr. faraha,4,3,0,3,3
198,EEE1001,Basic Electrical and Electronics Engineering,Dr. inkoo,4,1,5,5,5
199,CSE2001 ,Computer Architecture and Organization,Dr. mubshshira,4,4,1,3,5
200,CSE2011 ,Data Structures and Algorithms,Dr. chetna,3,1,1,5,5
201,CSE3018 ,Content Based Image and Video Retrieval,Dr. krishana,4,1,4,5,3
202,CSE3002 ,Internet and Web Programming,Dr. mukesh,1,4,2,1,2
203,CSE4003 ,Cyber Security,Dr. naveeda,2,4,1,5,5
204,CSE3011 ,Robotics and its Applications,Dr. kailashi,5,2,2,2,2
205,CSE4014 ,High Performance Computing,Dr. sinder,1,3,1,1,4
206,CSE4004 ,Digital Forensics,Dr. deepak,3,4,2,5,4
207,CSE3029 ,Game Programming,Dr. muneer,5,5,1,3,5
208,CSE3029 ,Game Programming,Dr. bhagat,1,1,0,4,4
209,CSE3024 ,Web Mining,Dr. rahishudeen,1,1,0,2,5
210,CSE4004 ,Digital Forensics,Dr. jockyipai,3,2,0,3,5
211,CSE3025 ,Large Scale Data Processing,Dr. irfa,3,2,5,3,5
212,CSE4019 ,Image Processing,Dr. jasmeet,1,1,3,2,4
213,CSE2023,Robotic Process Automation,Dr. pratima,3,3,0,2,4
214,CSE1004 ,Network and Communication,Dr. divakar,3,3,3,4,5
215,CSE3506,Essentials of Data Analytics,Dr. nishtha,2,1,4,5,5
216,CSE1007 ,Java Programming,Dr. krishna,5,1,1,1,4
217,CSE2012,Design and analysis of algorithms,Dr. dhananjay,2,4,0,2,3
218,MAT1014,Discrete Mathematics and Graph Theory,Dr. irsad,4,3,2,5,5
219,CSE3018 ,Content Based Image and Video Retrieval,Dr. kastoori,1,3,0,5,3
220,CSE2012,Design and analysis of algorithms,Dr. sohanpal,4,5,3,2,4
221,CSE2001 ,Computer Architecture and Organization,Dr. jauli,2,3,2,1,2
222,CSE3002 ,Internet and Web Programming,Dr. parmood,5,4,3,3,4
223,EEE1001,Basic Electrical and Electronics Engineering,Dr. angreg,2,5,5,4,5
224,CSE2001 ,Computer Architecture and Organization,Dr. manphool,5,3,2,2,4
225,CSE1004 ,Network and Communication,Dr. sandha,3,3,4,5,5
226,CSE3006 ,Embedded System Design,Dr. garupal,4,3,2,1,2
227,CSE3502,Information Security Management,Dr. nathiya,4,2,0,3,2
228,CSE3002 ,Internet and Web Programming,Dr. ebane,3,1,1,4,5
229,MAT2002,Applications of Differential and Difference Equations,Dr. aakash,2,3,0,2,2
230,CSE2005 ,Operating Systems,Dr. kanki,4,5,5,1,4
231,ECE3501,IoT Fundamentals,Dr. raviraj,1,5,0,5,4
232,CSE2001 ,Computer Architecture and Organization,Dr. titu,2,5,0,5,2
233,CSE2004 ,Database Management Systems,Dr. deep,4,2,3,5,4
234,CSE2013,Theory of Computation,Dr. bhudev,2,5,4,1,3
235,CSE3020 ,Data Visualization,Dr. vikesh,3,1,3,2,3
236,CSE3029 ,Game Programming,Dr. saksham,4,3,1,1,4
237,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. mohak,4,2,2,4,4
238,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. harib,4,5,0,4,5
239,CSE1003 ,Digital Logic and Design,Dr. sunayna,1,5,3,3,5
240,CSE3020 ,Data Visualization,Dr. nazim,4,4,2,3,2
241,EEE1001,Basic Electrical and Electronics Engineering,Dr. kabal,3,5,1,5,4
242,CSE3009 ,Internet of Things,Dr. navneet,4,4,2,5,4
243,CSE4015 ,Human Computer Interaction,Dr. sarik,3,3,3,1,3
244,CSE3024 ,Web Mining,Dr. smarti,3,1,2,4,5
245,MAT3004 ,Applied Linear Algebra,Dr. sehjal,1,4,3,3,4
246,CSE4001 ,Parallel and Distributed Computing,Dr. teekam,1,2,0,3,2
247,CSE2005 ,Operating Systems,Dr. chunaram,2,3,4,2,5
248,CSE3020 ,Data Visualization,Dr. mohini,4,1,0,5,5
249,CSE1007 ,Java Programming,Dr. pirmika,1,5,3,5,2
250,CSE2014,Compiler Design,Dr. farhanaz,1,3,4,1,5
251,CSE4004 ,Digital Forensics,Dr. anwar,4,5,2,4,2
252,CSE4022 ,Natural Language Processing,Dr. abhilasha,2,4,2,1,4
253,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. shumita,2,4,2,4,5
254,CSE3501,Information Security Analysis and Audit,Dr. manglesh,2,2,1,4,2
255,CSE1007 ,Java Programming,Dr. mohmmad,1,4,2,5,2
256,CSE3001 ,Software Engineering,Dr. raeeyan,4,1,0,5,4
257,CSE3001 ,Software Engineering,Dr. sagufta,3,1,0,2,5
258,CSE2014,Compiler Design,Dr. jayshing,3,3,1,3,3
259,MAT3004 ,Applied Linear Algebra,Dr. gita,4,1,1,1,3
260,CSE3506,Essentials of Data Analytics,Dr. devanand,5,3,3,5,5
261,EEE1001,Basic Electrical and Electronics Engineering,Dr. foranti,4,4,0,3,3
262,CSE2012,Design and analysis of algorithms,Dr. rishma,4,4,1,4,3
263,CSE2006 ,Microprocessor and Interfacing,Dr. bashanti,3,2,2,1,3
264,CSE4015 ,Human Computer Interaction,Dr. binda,1,3,2,3,5
265,CSE3020 ,Data Visualization,Dr. sumer,3,5,0,5,5
266,CSE3021 ,Social and Information Networks,Dr. zina,1,1,2,3,4
267,CSE3021 ,Social and Information Networks,Dr. javade,4,4,1,1,2
268,CSE2013,Theory of Computation,Dr. hamsiran,5,5,1,5,2
269,CSE4003 ,Cyber Security,Dr. jeeshan,4,3,5,5,5
270,CSE3501,Information Security Analysis and Audit,Dr. vindeshver,4,1,1,2,4
271,CSE1004 ,Network and Communication,Dr. kunal,2,3,3,5,4
272,CSE3025 ,Large Scale Data Processing,Dr. samiron,1,3,3,3,5
273,CSE1004 ,Network and Communication,Dr. pravesh,4,4,3,4,5
274,CSE4003 ,Cyber Security,Dr. brinda,2,5,2,1,4
275,CSE2014,Compiler Design,Dr. gilbahar,3,3,0,2,5
276,CSE2013,Theory of Computation,Dr. pinky,5,5,2,3,3
277,CSE2005 ,Operating Systems,Dr. mubarik,3,5,0,2,3
278,CSE4014 ,High Performance Computing,Dr. mahfuj,1,3,0,1,2
279,CSE2013,Theory of Computation,Dr. anjeev,2,1,3,4,4
280,CSE3011 ,Robotics and its Applications,Dr. hareshwar,2,5,1,2,2
281,CSE3006 ,Embedded System Design,Dr. salima,4,1,5,4,5
282,CSE3002 ,Internet and Web Programming,Dr. phooli,3,4,2,2,2
283,CSE3006 ,Embedded System Design,Dr. halima,1,5,4,1,5
284,CSE3006 ,Embedded System Design,Dr. sanjana,1,3,3,2,5
285,CSE3025 ,Large Scale Data Processing,Dr. somi,4,5,2,1,4
286,CSE3018 ,Content Based Image and Video Retrieval,Dr. dildar,4,3,1,3,4
287,CSE1007 ,Java Programming,Dr. javid,1,2,3,5,3
288,CSE3018 ,Content Based Image and Video Retrieval,Dr. nooralam,1,1,0,1,2
289,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. akaash,5,3,0,4,5
290,CSE3001 ,Software Engineering,Dr. love,4,1,3,1,5
291,CSE2005 ,Operating Systems,Dr. mitali,2,5,2,1,3
292,CSE1004 ,Network and Communication,Dr. samadhan,2,5,1,5,3
293,CSE3505,Foundations of Data Analytics,Dr. bittan,5,1,0,4,3
294,CSE3024 ,Web Mining,Dr. salmakhatun,1,3,0,4,4
295,CSE3506,Essentials of Data Analytics,Dr. rabiya,3,2,2,3,4
296,MAT2002,Applications of Differential and Difference Equations,Dr. halke,5,1,3,1,2
297,CSE4003 ,Cyber Security,Dr. sankarlal,4,5,1,1,2
298,CSE3013 ,Artificial Intelligence,Dr. juna,4,4,5,1,5
299,CSE3001 ,Software Engineering,Dr. afsari,4,3,5,2,5
300,MAT1014,Discrete Mathematics and Graph Theory,Dr. lakshy,3,5,1,2,4
301,EEE1001,Basic Electrical and Electronics Engineering,Dr. sandeepa,4,3,2,3,3
302,CSE4004 ,Digital Forensics,Dr. ballu,5,2,4,2,3
303,CSE3001 ,Software Engineering,Dr. vashu,4,5,2,3,3
304,CSE2012,Design and analysis of algorithms,Dr. raksha,5,2,3,2,4
305,CSE3029 ,Game Programming,Dr. nshima,2,2,0,4,3
306,CSE3505,Foundations of Data Analytics,Dr. salin,1,2,3,4,3
307,CSE3001 ,Software Engineering,Dr. sourab,4,2,2,1,3
308,CSE4019 ,Image Processing,Dr. nargis,3,4,1,1,5
309,MAT2002,Applications of Differential and Difference Equations,Dr. nasreema,5,5,2,2,3
310,CSE4004 ,Digital Forensics,Dr. ragini,1,4,1,1,3
311,MAT2002,Applications of Differential and Difference Equations,Dr. baban,1,1,2,5,4
312,CSE1004 ,Network and Communication,Dr. laxmanram,3,4,1,4,4
313,CSE4004 ,Digital Forensics,Dr. anadi,4,1,2,1,3
314,CSE1003 ,Digital Logic and Design,Dr. pritam,1,5,1,4,2
315,CSE1006 ,Blockchain and Cryptocurrency Technologies,Dr. sarik,4,1,1,4,3
316,CSE3001 ,Software Engineering,Dr. samon,4,5,1,3,5
317,CSE2004 ,Database Management Systems,Dr. abhash,3,2,4,4,5
318,EEE1001,Basic Electrical and Electronics Engineering,Dr. akhilesh,2,2,2,1,3
319,CSE2004 ,Database Management Systems,Dr. harsha,2,2,2,5,4
320,CSE1007 ,Java Programming,Dr. nenshi,4,4,0,4,3
321,CSE3018 ,Content Based Image and Video Retrieval,Dr. chandar,4,3,2,3,2
322,CSE3025 ,Large Scale Data Processing,Dr. kawaljeet,3,2,2,1,3
323,ECE3501,IoT Fundamentals,Dr. satyawan,4,4,2,4,2
324,CSE2005 ,Operating Systems,Dr. imamudeen,1,5,1,4,2
325,CSE2012,Design and analysis of algorithms,Dr. gaffur,2,5,3,3,5
326,CSE2013,Theory of Computation,Dr. sattu,2,1,4,4,4
327,CSE3502,Information Security Management,Dr. azhar,4,2,4,5,4
328,CSE4003 ,Cyber Security,Dr. varun,3,2,0,5,2
329,MAT3004 ,Applied Linear Algebra,Dr. biwa,3,5,5,2,5
330,ECE3502,IoT Domain Analyst,Dr. dhansinghpuri,1,2,1,1,2
331,CSE4003 ,Cyber Security,Dr. adan,1,2,3,1,4
332,CSE2011 ,Data Structures and Algorithms,Dr. sabba,2,1,0,1,2
333,CSE3024 ,Web Mining,Dr. anamol,1,4,1,1,5
334,CSE4022 ,Natural Language Processing,Dr. galu,1,1,4,3,5
335,CSE3002 ,Internet and Web Programming,Dr. resham,2,5,3,1,3
336,CSE1004 ,Network and Communication,Dr. siddarth,1,5,0,5,5
337,CSE2001 ,Computer Architecture and Organization,Dr. tarun,3,3,1,1,5
338,CSE2006 ,Microprocessor and Interfacing,Dr. nana,5,4,2,2,3
339,EEE1001,Basic Electrical and Electronics Engineering,Dr. roshani,5,4,4,2,5
340,CSE4004 ,Digital Forensics,Dr. kanta,4,1,0,1,2
341,MAT2002,Applications of Differential and Difference Equations,Dr. isnesh,5,4,1,2,5
342,CSE3011 ,Robotics and its Applications,Dr. salaman,3,3,1,2,2
343,CSE2013,Theory of Computation,Dr. ujjwal,5,5,3,2,5
344,CSE4022 ,Natural Language Processing,Dr. naresh,4,2,3,5,5
345,CSE4015 ,Human Computer Interaction,Dr. neela,5,4,0,3,5
346,CSE2012,Design and analysis of algorithms,Dr. tripta,5,1,1,2,2
347,CSE1003 ,Digital Logic and Design,Dr. mmta,4,3,4,5,5
348,CSE3025 ,Large Scale Data Processing,Dr. chanchal,3,2,0,4,2
349,CSE3505,Foundations of Data Analytics,Dr. vashanavi,1,1,0,4,4
350,CSE3025 ,Large Scale Data Processing,Dr. chotti,4,1,4,1,4
351,CSE4015 ,Human Computer Interaction,Dr. harun,1,3,2,1,4
352,CSE2014,Compiler Design,Dr. jag,4,5,2,2,3
353,CSE1004 ,Network and Communication,Dr. twinkil,2,5,2,3,2
354,CSE2014,Compiler Design,Dr. chitprit,2,3,2,2,4
355,CSE4004 ,Digital Forensics,Dr. salaman,4,5,1,5,5
356,CSE1003 ,Digital Logic and Design,Dr. lakki,3,2,3,1,4
357,CSE4019 ,Image Processing,Dr. virpal,5,5,2,3,2
358,CSE1004 ,Network and Communication,Dr. gulsha,5,2,3,1,5
359,CSE4022 ,Natural Language Processing,Dr. babli,5,3,3,1,3
360,CSE3018 ,Content Based Image and Video Retrieval,Dr. sefali,1,1,1,5,2
361,MAT2002,Applications of Differential and Difference Equations,Dr. satu,3,5,4,3,4
362,CSE4011 ,Virtualization,Dr. khetra,2,1,3,1,4
363,CSE2004 ,Database Management Systems,Dr. dilish,2,4,1,5,4
364,CSE4003 ,Cyber Security,Dr. roma,3,4,0,1,2
365,CSE3009 ,Internet of Things,Dr. ruchit,4,2,0,1,2
366,CSE2011 ,Data Structures and Algorithms,Dr. uma,4,2,4,2,5
